Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,prob_fire_true,prob_fire_true_%,prediction
-3.8348559816062733,0.34973048517288885,-0.5671689199839677,-0.36029733003322234,1.064046385905575,0.5952032781574662,0.8414588689688512,0.01952311700867237,0.017565302030741855,0.12142841814588111,0.017987823980506905,-0.10895369165593273,1.0,100.0,1
0.4496694850950412,0.2799996611359851,0.6703572725242193,-0.16447940611478776,0.09019042310248014,-0.5878286766747727,0.057649426957131565,0.0005528240319351602,-0.0036802875183107116,0.09600893552080207,-0.001618929161697509,-0.11015232625491939,1.0,100.0,1
0.5264915984981849,-0.03703132991204895,-0.8684127609354908,-0.36029733003322234,-0.5487778740127416,1.6275594759998138,-1.0309668705482877,0.0781017210076875,0.0721941588497618,0.19260880246880505,0.07403171376513924,-0.10417058517102007,0.0,0.0,0
-0.8773808995842313,0.3755810056743601,0.5481362413090491,-0.25485510182659227,-0.16934015148161569,-0.46590963365857885,0.09303255573326766,-0.030503063109958924,-0.03269712032603654,0.05547659219114576,-0.03299419847565229,-0.11255304035636994,1.0,100.0,1
0.41052673645212867,0.48806020815561607,0.6746704137528936,-0.25485510182659227,0.22754467012081184,-0.5767279842556013,0.051889229499333576,-0.14236813376178561,-0.14111689957920037,-0.08596567229917962,-0.13997724040094187,-0.12099194347658222,1.0,100.0,1
-0.8927179293988989,0.676046485005505,-2.7901409841614635,-0.36029733003322234,-0.011035681345291917,0.3148143731282594,0.9146177351909126,-0.85564781351931,-0.8329938383469098,-1.3296652106644855,-0.8433337952452169,-0.15657142475966365,0.0,0.0,0
0.6062390115363323,-0.027555955802958013,0.5358619248582444,-0.36029733003322234,-0.1002767970180758,-0.46590963365857885,0.10126095829624482,-0.19144965647227066,-0.19126439221049268,-0.1558358358208612,-0.1903887767712014,-0.12341353336576386,1.0,100.0,1
-0.9885414522976639,0.3363505700147709,-1.5470993903013064,-0.36029733003322234,-1.2329633677635312,-0.0478955372504697,0.9647563314975589,-1.0378644539976782,-0.9589944530470909,-1.9891714687112614,-0.9625337382608208,-0.09111040428870738,0.0,0.0,0
0.4294101733892597,-1.3493395033271727,-0.770139578203751,1.868762309156057,0.9447925847820907,0.2461811836576242,-6.2341264396732035,6.937759754138838,6.806961070283523,6.4571919809718334,6.7916759836302205,6.994325414358201,1.0,100.0,1
0.11199710801696718,0.20664039202932635,-0.22792046686660408,-0.36029733003322234,0.6934721493636437,0.4193177091326847,0.5915156991775377,-0.7748134792631712,-0.7640981812237491,-1.1522913599351454,-0.7694004263094877,-0.15284359143748616,1.0,100.0,1
